"leave","country_code","gender","age","years_education","news_consumption","trust_people","trust_politicians","past_vote","immig_econ","immig_culture","country_attach","religion","climate_change","imp_tradition","imp_equality","income","eu_integration","trade_union","unemployed","train"
1,"AT","Female",21,13,10,3,4,"Yes",6,4,7,"Roman Catholic",3,1,2,1,1,1,FALSE,FALSE
0,"AT","Male",41,12,60,7,10,"Yes",7,8,7,"Roman Catholic",2,3,1,0,6,1,FALSE,FALSE
0,"AT","Male",24,14,240,6,3,"No",5,8,8,"Roman Catholic",3,1,1,0,8,0,TRUE,FALSE
1,"AT","Male",55,11,90,5,2,"Yes",2,5,10,"Roman Catholic",3,1,3,1,2,1,FALSE,FALSE
0,"AT","Male",51,13,10,8,8,"Yes",8,2,4,"Roman Catholic",1,5,3,1,3,1,FALSE,TRUE
1,"AT","Male",75,18,180,8,0,"Yes",3,5,10,"Roman Catholic",2,2,4,1,0,0,FALSE,TRUE
0,"AT","Female",39,13,15,1,9,"Yes",0,0,10,"Roman Catholic",4,3,1,1,2,0,FALSE,FALSE
0,"AT","Male",23,11,15,7,3,"No",6,5,7,"Roman Catholic",3,4,2,1,5,0,FALSE,TRUE
1,"AT","Male",47,14,20,4,4,"Yes",3,2,6,"Roman Catholic",3,4,4,1,1,0,FALSE,FALSE
0,"AT","Male",67,11,25,4,4,"Yes",4,5,7,"Roman Catholic",3,2,3,0,3,1,FALSE,FALSE
1,"AT","Male",65,12,120,9,4,"Yes",2,3,9,"Roman Catholic",4,3,2,0,2,1,FALSE,FALSE
1,"AT","Female",34,17,60,5,2,"Yes",5,3,10,"Protestant",5,3,1,1,2,0,FALSE,FALSE
0,"AT","Male",51,13,45,8,3,"Yes",0,8,10,"Roman Catholic",3,4,2,1,0,1,FALSE,TRUE
0,"AT","Male",38,16,90,3,4,"Yes",1,0,10,"Roman Catholic",4,1,5,0,1,0,FALSE,FALSE
0,"AT","Female",81,17,90,9,3,"Yes",8,6,9,"Roman Catholic",3,1,2,0,10,0,FALSE,TRUE
0,"AT","Male",65,12,60,7,4,"Yes",5,3,10,"Roman Catholic",3,1,1,0,7,0,FALSE,FALSE
0,"AT","Female",71,12,15,7,8,"Yes",7,9,10,"Roman Catholic",4,3,1,0,8,0,FALSE,TRUE
0,"AT","Male",76,8,90,10,3,"Yes",0,0,10,"Roman Catholic",2,2,2,0,0,0,FALSE,FALSE
0,"AT","Female",71,9,30,5,5,"Yes",2,1,9,"Roman Catholic",3,2,2,0,3,1,FALSE,FALSE
0,"AT","Female",27,12,15,7,4,"Yes",5,4,7,"Roman Catholic",3,1,1,1,0,0,FALSE,FALSE
0,"AT","Male",42,17,20,8,2,"Yes",5,7,9,"Roman Catholic",3,3,3,1,3,1,FALSE,FALSE
1,"AT","Female",53,12,60,1,0,"No",1,0,10,"Other",5,6,2,1,0,0,FALSE,FALSE
0,"AT","Male",34,13,0,10,8,"No",5,5,8,"Islamic",3,1,1,1,8,0,FALSE,FALSE
0,"AT","Male",39,12,90,6,5,"Yes",5,4,8,"Roman Catholic",3,1,2,1,0,1,FALSE,TRUE
0,"AT","Female",60,11,150,7,7,"Yes",5,5,10,"Roman Catholic",3,2,1,0,6,0,FALSE,TRUE
0,"AT","Female",42,17,5,5,4,"Yes",5,3,9,"Roman Catholic",4,2,2,1,0,1,FALSE,TRUE
0,"AT","Female",18,10,30,6,0,"No",8,8,5,"Islamic",3,2,1,0,7,0,FALSE,TRUE
1,"AT","Female",56,12,30,7,5,"Yes",3,3,8,"Roman Catholic",3,2,2,1,4,1,FALSE,FALSE
1,"AT","Male",47,12,60,7,0,"Yes",0,0,7,"Roman Catholic",4,3,1,1,3,1,FALSE,TRUE
1,"AT","Male",55,12,90,9,5,"Yes",9,4,6,"Roman Catholic",4,1,1,0,0,0,FALSE,TRUE
0,"AT","Male",28,12,30,0,5,"No",0,2,10,"Islamic",1,1,2,0,0,0,FALSE,FALSE
0,"AT","Male",59,12,20,1,4,"Yes",9,3,9,"Roman Catholic",4,2,2,1,7,1,FALSE,FALSE
0,"AT","Male",51,12,30,6,4,"Yes",5,4,7,"Roman Catholic",3,1,1,1,0,1,FALSE,TRUE
0,"AT","Female",20,12,60,8,8,"Yes",6,7,5,"Roman Catholic",3,3,4,0,5,1,FALSE,TRUE
1,"AT","Female",30,14,10,6,0,"Yes",0,0,9,"Roman Catholic",3,4,5,0,0,1,FALSE,FALSE
0,"AT","Female",22,12,5,4,4,"No",5,5,8,"Roman Catholic",2,3,2,0,4,0,FALSE,FALSE
0,"AT","Female",28,16,60,8,8,"Yes",0,0,8,"Roman Catholic",3,3,4,1,7,1,FALSE,TRUE
0,"AT","Male",68,14,60,5,2,"Yes",10,8,10,"Roman Catholic",3,2,1,1,8,0,FALSE,FALSE
0,"AT","Male",55,9,45,9,3,"Yes",4,4,7,"Roman Catholic",4,3,1,0,4,1,FALSE,FALSE
1,"AT","Male",25,14,15,6,0,"No",1,1,10,"Roman Catholic",3,5,4,0,0,0,FALSE,TRUE
0,"AT","Male",71,12,60,9,2,"Yes",7,4,9,"Roman Catholic",3,3,1,0,3,0,FALSE,TRUE
